letter	particle	position	freq_s	freq_is	freq_t	perc_s	perc_is	perc_t	perc_label
81	δέ	1	0	0	0	0.0	0.0	0.0	0
81	δέ	2	7	10	17	100.0	47.6	60.7	60.7%
81	δέ	3	0	0	0	0.0	0.0	0.0	0
81	δέ	4	0	0	0	0.0	0.0	0.0	0
81	δέ	5	0	2	2	0.0	9.5	7.1	7.1%
81	δέ	6	0	2	2	0.0	9.5	7.1	7.1%
81	δέ	7	0	3	3	0.0	14.3	10.7	10.7%
81	δέ	8	0	0	0	0.0	0.0	0.0	0
81	δέ	9	0	0	0	0.0	0.0	0.0	0
81	δέ	10	0	0	0	0.0	0.0	0.0	0
81	δέ	11	0	2	2	0.0	9.5	7.1	7.1%
81	δέ	12	0	0	0	0.0	0.0	0.0	0
81	δέ	13	0	1	1	0.0	4.8	3.6	3.6%
81	δέ	14	0	1	1	0.0	4.8	3.6	3.6%
81	δέ	15	0	0	0	0.0	0.0	0.0	0
81	δέ	16	0	0	0	0.0	0.0	0.0	0
81	δέ	17	0	0	0	0.0	0.0	0.0	0
82	δέ	1	0	0	0	0.0	0.0	0.0	0
82	δέ	2	5	13	18	71.4	92.9	85.7	85.7%
82	δέ	3	0	0	0	0.0	0.0	0.0	0
82	δέ	4	1	0	1	14.3	0.0	4.8	4.8%
82	δέ	5	0	0	0	0.0	0.0	0.0	0
82	δέ	6	0	0	0	0.0	0.0	0.0	0
82	δέ	7	0	0	0	0.0	0.0	0.0	0
82	δέ	8	0	0	0	0.0	0.0	0.0	0
82	δέ	9	0	0	0	0.0	0.0	0.0	0
82	δέ	10	0	0	0	0.0	0.0	0.0	0
82	δέ	11	0	0	0	0.0	0.0	0.0	0
82	δέ	12	0	0	0	0.0	0.0	0.0	0
82	δέ	13	0	1	1	0.0	7.1	4.8	4.8%
82	δέ	14	0	0	0	0.0	0.0	0.0	0
82	δέ	15	0	0	0	0.0	0.0	0.0	0
82	δέ	16	0	0	0	0.0	0.0	0.0	0
82	δέ	17	1	0	1	14.3	0.0	4.8	4.8%
