"particle"	"letter"	"freq"
"ἀλλά"	66	69
"ἀλλά"	67	72
"ἀλλά"	68	68
"ἀλλά"	69	23
"ἀλλά"	70	13
"ἀλλά"	71	15
"ἀλλά"	72	3
"ἀλλά"	73	13
"ἀλλά"	74	5
"ἀλλά"	75	12
"ἀλλά"	76	12
"ἀλλά"	77	4
"ἀλλά"	78	2
"ἀλλά"	79	16
"ἄρα"	66	11
"ἄρα"	67	5
"ἄρα"	68	3
"ἄρα"	69	5
"ἄρα"	70	1
"ἄρα"	73	1
"ἄρα"	74	1
"ἄρα"	79	2
"ἆρα"	69	1
"γάρ"	66	143
"γάρ"	67	107
"γάρ"	68	76
"γάρ"	69	36
"γάρ"	70	11
"γάρ"	71	13
"γάρ"	72	6
"γάρ"	73	23
"γάρ"	74	5
"γάρ"	75	13
"γάρ"	76	13
"γάρ"	77	6
"γάρ"	78	3
"γάρ"	79	91
"δέ"	66	145
"δέ"	67	205
"δέ"	68	73
"δέ"	69	58
"δέ"	70	19
"δέ"	71	27
"δέ"	72	5
"δέ"	73	15
"δέ"	74	11
"δέ"	75	30
"δέ"	76	24
"δέ"	77	8
"δέ"	78	6
"δέ"	79	70
"καί"	66	203
"καί"	67	218
"καί"	68	134
"καί"	69	54
"καί"	70	112
"καί"	71	82
"καί"	72	81
"καί"	73	82
"καί"	74	45
"καί"	75	83
"καί"	76	55
"καί"	77	34
"καί"	78	13
"καί"	79	210
"καίτοι"	79	1
"μέν"	66	16
"μέν"	67	17
"μέν"	68	7
"μέν"	69	3
"μέν"	70	1
"μέν"	71	5
"μέν"	76	3
"μέν"	79	19
"μέντοι"	76	1
"μή"	67	3
"μή"	68	8
"μή"	69	4
"μή"	72	1
"μή"	73	2
"μή"	79	4
"οὖν"	66	47
"οὖν"	67	19
"οὖν"	68	10
"οὖν"	69	6
"οὖν"	70	7
"οὖν"	71	5
"οὖν"	72	5
"οὖν"	73	2
"οὖν"	74	1
"οὖν"	75	4
"οὖν"	76	3
"οὖν"	78	1
"οὖν"	79	13
"τέ"	66	17
"τέ"	67	3
"τέ"	68	2
"τέ"	70	1
"τέ"	71	1
"τέ"	79	20
"τοιγαροῦν"	73	1
"τοιγαροῦν"	79	1
"τοίνυν"	67	1
"τοίνυν"	79	1
